nutrient,flow,,,,,,,,,,,,,,,,,
glc,0.000001,,,,,,,,,,,,,,,,,
glc,0,,,,,,,,,,,,,,,,,
glc,0.000003,,,,,,,,,,,,,,,,,
glc,0.025565,,,,,,,,,,,,,,,,,
glc,0.035927,,,,,,,,,,,,,,,,,
glc,0.03453,,,,,,,,,,,,,,,,,
glc,0.035488,,,,,,,,,,,,,,,,,
glc,0.034732,,,,,,,,,,,,,,,,,
glc,0.039495,,,,,,,,,,,,,,,,,
glc,0.031985,,,,,,,,,,,,,,,,,
gln,0.284299,,,,,,,,,,,,,,,,,
gln,0.378238,,,,,,,,,,,,,,,,,
gln,0.24437,,,,,,,,,,,,,,,,,
gln,0.066288,,,,,,,,,,,,,,,,,
gln,0.000001,,,,,,,,,,,,,,,,,
gln,0.000004,,,,,,,,,,,,,,,,,
gln,0,,,,,,,,,,,,,,,,,
gln,0,,,,,,,,,,,,,,,,,
gln,0.000011,,,,,,,,,,,,,,,,,
gln,0.000062,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1.09E-05,5.93E-05,,,,,,,,,,,,,,,,,
1.47E-05,2.07E-05,,,,,,,,,,,,,,,,,
1.43E-05,5.96E-05,,,,,,,,,,,,,,,,,
3.92E-05,1.17E-05,,,,,,,,,,,,,,,,,
0.000033574,0.000070605,,,,,,,,,,,,,,,,,
0.000013981,0.08272,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,
7.99E-05,0,,,,,,,,,,,,,,,,,
0.000113833,6.59E-05,,,,,,,,,,,,,,,,,
0.011725089,0.124579178,,,,,,,,,,,,,,,,,
5.45E-05,7.95E-05,,,,,,,,,,,,,,,,,
0.062680253,0.390639396,,,,,,,,,,,,,,,,,
1.70E-04,2.62E-05,,,,,,,,,,,,,,,,,
0.187745702,0.394691136,,,,,,,,,,,,,,,,,
5.44E-05,0.00E+00,,,,,,,,,,,,,,,,,
0.084278027,4.54E-01,,,,,,,,,,,,,,,,,
0.000001,0,,,,,,,,,,,,,,,,,
0.284299,0.378238,,,,,,,,,,,,,,,,,
