Day,nutrient,days2,days3,days4,days5,days6,days7,days8,days9,days10
1,glc,1.09E-05,1.43E-05,0.000033574,0,0.000113833,5.45E-05,1.70E-04,5.44E-05,0.000001
1,gln,1.47E-05,3.92E-05,0.000013981,7.99E-05,0.011725089,0.062680253,0.187745702,0.084278027,0.284299
2,glc,5.93E-05,5.96E-05,0.000070605,0,6.59E-05,7.95E-05,2.62E-05,0.00E+00,0
2,gln,2.07E-05,1.17E-05,0.08272,0,0.124579178,0.390639396,0.394691136,4.54E-01,0.378238
3,glc,NULL,8.43E-05,0.000087247,0,1.51E-05,0.000108191,8.05E-05,1.44E-04,0.000003
3,gln,NULL,0.047650912,0.1002,0.157836914,0.215459142,0.331412935,0.246616614,3.53E-01,0.24437
4,glc,NULL,NULL,0.000041356,6.57E-05,2.31E-05,3.19E-02,3.02E-02,2.90E-02,0.025565
4,gln,NULL,NULL,0.0715,0.150592779,0.299874539,0.045274372,0.051813504,0.010905846,0.066288
5,glc,NULL,NULL,NULL,0,0.041669925,0.04512787,0.041113659,0.04040483,0.035927
5,gln,NULL,NULL,NULL,0.054217678,6.29E-05,0.00027163,0.005983833,0.042657382,0.000001
6,glc,NULL,NULL,NULL,NULL,0.037222642,4.41E-02,3.98E-02,0.038862359,0.03453
6,gln,NULL,NULL,NULL,NULL,2.10E-05,0.000212911,0.000184939,1.20E-06,0.000004
7,glc,NULL,NULL,NULL,NULL,NULL,0.042772504,0.043624704,0.038034731,0.035488
7,gln,NULL,NULL,NULL,NULL,NULL,0.00020663,5.14E-05,4.24E-05,0
8,glc,NULL,NULL,NULL,NULL,NULL,NULL,0.037367863,0.042531624,0.034732
8,gln,NULL,NULL,NULL,NULL,NULL,NULL,2.21E-05,0,0
9,glc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03647404,0.039495
9,gln,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.02E-18,0.000011
10,glc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.031985
10,gln,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000062
